"Name","Description","Latitude","Longitude"
CIERRE DE VIAS Y MANIFESTACIONES,#: 1230<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S55A<br>ESTADO DE MOVILIZACION: PARCIALMENTE HABILITADA<br>latitud: -0.3328158<br>longitud: -78.5504395,-0.3328158,-78.5504395
CIERRE DE VIAS Y MANIFESTACIONES,#: 1231<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado e Islas Malvinas<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.31738480330602176<br>longitud: -78.54906848764404,-0.317384803306022,-78.549068487644
CIERRE DE VIAS Y MANIFESTACIONES,#: 1232<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO:  Av. Mariscal Sucre y Julio Andrade<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.31822592497382035<br>longitud: -78.55761729008911,-0.31822592497382,-78.5576172900891
CIERRE DE VIAS Y MANIFESTACIONES,#: 1233<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO:  Av. Mariscal Sucre y Leopoldo Chávez<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.32599640704095023<br>longitud: -78.55604993671643,-0.32599640704095,-78.5560499367164
CIERRE DE VIAS Y MANIFESTACIONES,#: 1234<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Quitumbe Ñan y S50D<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.32236771792063057<br>longitud: -78.55418883486129,-0.322367717920631,-78.5541888348613
CIERRE DE VIAS Y MANIFESTACIONES,#: 1235<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Quitumbe Ñan y Federico Angulo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3142555681990447<br>longitud: -78.55338454999308,-0.314255568199045,-78.5533845499931
CIERRE DE VIAS Y MANIFESTACIONES,#: 1236<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Teniente Hugo Ortiz (Mercado Mayorista)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2703576404421347<br>longitud: -78.53574576555314,-0.270357640442135,-78.5357457655531
CIERRE DE VIAS Y MANIFESTACIONES,#: 1237<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Mariscal Sucre y Libertadores<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.23799568466987275<br>longitud: -78.52900608882419,-0.237995684669873,-78.5290060888242
CIERRE DE VIAS Y MANIFESTACIONES,#: 1238<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Mariscal Sucre (Mercado Las Cuadras)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.28148051660600376<br>longitud: -78.55369884228215,-0.281480516606004,-78.5536988422821
CIERRE DE VIAS Y MANIFESTACIONES,#: 1239<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Piedranita y Av. Gran Colombia<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.21417795912686322<br>longitud: -78.49889192811638,-0.214177959126863,-78.4988919281164
CIERRE DE VIAS Y MANIFESTACIONES,#: 1240<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Luis Saa y Hnos. Pazmiño<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2139496084660932<br>longitud: -78.50011145450777,-0.213949608466093,-78.5001114545078
CIERRE DE VIAS Y MANIFESTACIONES,#: 1241<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Hnos. Pazmiño y 6 de Diciembre<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.21342607285338805<br>longitud: -78.50049380788049,-0.213426072853388,-78.5004938078805
CIERRE DE VIAS Y MANIFESTACIONES,#: 1242<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Pichincha y Velasco Ibarra<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.08548137944479264<br>longitud: -78.29326279810044,-0.0854813794447926,-78.2932627981004
CIERRE DE VIAS Y MANIFESTACIONES,#: 1249<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO:  Panamericana Norte y Leonidas Proaño<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.10555203861377914<br>longitud: -78.43303767229895,-0.105552038613779,-78.433037672299
CIERRE DE VIAS Y MANIFESTACIONES,#: 1250<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO:  Panamericana Norte y Guarderas<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.10445462587775341<br>longitud: -78.42256856555366,-0.104454625877753,-78.4225685655537
CIERRE DE VIAS Y MANIFESTACIONES,#: 1253<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Plaza Indoamérica<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.20095769627581564<br>longitud: -78.50123755442239,-0.200957696275816,-78.5012375544224
CIERRE DE VIAS Y MANIFESTACIONES,#: 1254<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Calle Ladrón de Guevara (Coliseo Rumiñahui)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.21306816343605275<br>longitud: -78.48900843958101,-0.213068163436053,-78.489008439581
CIERRE DE VIAS Y MANIFESTACIONES,#: 1255<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Intercambiador de Carcelén<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.09631515826861495<br>longitud: -78.46805421833638,-0.0963151582686149,-78.4680542183364
CIERRE DE VIAS Y MANIFESTACIONES,#: 1256<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Intercambiador de Carapungo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.10935917224339986<br>longitud: -78.4584325962452,-0.1093591722434,-78.4584325962452
CIERRE DE VIAS Y MANIFESTACIONES,#: 1257<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Giovanny Calles<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.09516450566271886<br>longitud: -78.43863076369846,-0.0951645056627189,-78.4386307636985
CIERRE DE VIAS Y MANIFESTACIONES,#: 1258<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Eloy Alfaro y Molineros<br>ESTADO DE MOVILIZACION: PARCIALMENTE HABILITADA<br>latitud: -0.12865264255016534<br>longitud: -78.47118019439002,-0.128652642550165,-78.47118019439
CIERRE DE VIAS Y MANIFESTACIONES,#: 1259<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Peaje de Guangopolo (Intervalles)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.24573844721862287<br>longitud: -78.44229514192031,-0.245738447218623,-78.4422951419203
CIERRE DE VIAS Y MANIFESTACIONES,#: 1261<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Simón Bolivar - Ingreso Eternit<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3453232542479142<br>longitud: -78.54863956066265,-0.345323254247914,-78.5486395606627
