Name,Description,lat,lng
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Mariscal Sucre y la Ecuatoriana<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2471945<br>longitud: -78.5351281,-0.2471945,-78.5351281
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Antigua vía a Conocoto<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2469105<br>longitud: -78.4961522,-0.2469105,-78.4961522
CIERRE DE VIAS Y MANIFESTACIONES,#: 1259<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Peaje de Guangopolo (Intervalles)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.24573844721862287<br>longitud: -78.44229514192031,-0.245738447,-78.44229514
CIERRE DE VIAS,#: 1196<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de vías en la intersección de las vías 5 de Junio y Rodrigo de Chávez<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2390881271633773<br>longitud: -78.52343950113504,-0.239088127,-78.5234395
CIERRE DE VIAS Y MANIFESTACIONES,#: 1237<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Mariscal Sucre y Libertadores<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.23799568466987275<br>longitud: -78.52900608882419,-0.237995685,-78.52900609
CIERRE DE VIAS,"#: 1198<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de vías por parte de personal militar en el sector de El Trebol, Av. General Rumiñahui<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.23324632584940105<br>longitud: -78.50233587999337",-0.233246326,-78.50233588
MANIFESTACIONES,#: 1184<br>HORA: 04:00 a 06:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de vía de El Trébol.<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2319025055896488<br>longitud: -78.50335590784066,-0.231902506,-78.50335591
CIERRE DE VIAS Y MANIFESTACIONES,#: 1219<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Intervalles Sector Cununyacu<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.23006110231622834<br>longitud: -78.42955989961355,-0.230061102,-78.4295599
CIERRE DE VIAS,#: 1202<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Bolivar y Venezuela<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22258231930190714<br>longitud: -78.51356952567129,-0.222582319,-78.51356953
CIERRE DE VIAS,#: 1201<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Bolivar y Garcia Moreno<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22196600836581232<br>longitud: -78.514351518926,-0.221966008,-78.51435152
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: <br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2212782<br>longitud: -78.5149993,-0.2212782,-78.5149993
CIERRE DE VIAS,#: 1203<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Guayaquil y Espejo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22117986180863514<br>longitud: -78.51134347904397,-0.221179862,-78.51134348
